source,status,item
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.370541547393 15.132639923456 Velenje Slovenia  (feature #2818)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.406384824458 15.294297442537 Vitanje Slovenia  (feature #2819)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.17620574318 14.491820896849 Vodice Slovenia  (feature #2820)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","45.963300266622 14.310389521145 Vrhnika Slovenia  (feature #2821)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.573563967874 15.165055993022 Vuzenica Slovenia  (feature #2822)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","46.153426659326 14.932392943365 Zasavska  (feature #2823)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.153426659326 14.932392943365 Zasavska Slovenia  (feature #2823)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.405531462923 15.362993201267 Zrece Slovenia  (feature #2824)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.375180847259 14.032055640746 Bled Slovenia  (feature #2825)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","46.296400219585 13.945344428783 Bohinj  (feature #2826, WOEID: 12591511)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.126067672841 13.981936062291 Cerkno Slovenia  (feature #2827)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","46.10999288756 14.137800235412 Gorenja Vas-Poljane  (feature #2828, WOEID: 12591534)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","45.992792469912 14.000133964275 Idrija Slovenia  (feature #2829)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.260758522971 14.320496404587 Kranj Slovenia  (feature #2830)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.45607108405 13.831666787605 Kranjska Gora Slovenia  (feature #2831)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.287824622953 14.305535971591 Naklo Slovenia  (feature #2832)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","46.337044493166 14.190104966828 Gorenjska  (feature #2833)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.337044493166 14.190104966828 Gorenjska Slovenia  (feature #2833)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.159574065449 14.271474072131 kofja Loka Slovenia  (feature #2834)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.168503028719 13.817303222455 Tolmin Slovenia  (feature #2835)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.388341794311 14.331705999471 Tric Slovenia  (feature #2836)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","46.221605097029 14.107575587909 elezniki  (feature #2837)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.221605097029 14.107575587909 elezniki Slovenia  (feature #2837)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","46.047488291682 14.113219467075 iri Slovenia  (feature #2838)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","45.898079366476 13.923722225197 Ajdovcina Slovenia  (feature #2839)"
