source,status,item
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.759889111094 19.633438796418 Fier  (feature #56, WOEID: 29389558)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","42.171666545098 19.739906312156 Shkodër  (feature #57, WOEID: 29389563)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","42.183783932421 20.199503902156 Kukës  (feature #58, WOEID: 29389561)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.161909162309 19.772927028644 Vlorë  (feature #59, WOEID: 29389565)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.631165592374 20.650956355507 Korçë  (feature #60, WOEID: 29389560)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.631655866793 20.098878523468 Berat  (feature #61, WOEID: 29389554)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","41.049170641183 20.193273159452 Elbasan  (feature #62, WOEID: 29389557)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.198176795872 20.206439417494 Gjirokastër  (feature #63, WOEID: 29389559)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","41.612276866173 20.231763870679 Dibër  (feature #64, WOEID: 29389555)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","41.809956375881 19.8586951815 Lezhë  (feature #65, WOEID: 29389562)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","41.276040770971 19.782165523495 Durrës  (feature #66, WOEID: 29389556)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","60.175616455451 20.39518194034 Finström  (feature #67, WOEID: 12590631)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","42.539500077776 1.5629648360221 AND- (Andorra aggregation) Andorra    (feature #68)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","25.873466777675 55.036875101419 Hormozgan United Arab Emirates Banader va Jazayer-e Bahr-e Oman Ports and Islands of the Sea of Oman Saheli   (feature #69)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","25.436989225684 56.041820107995 Ras Al Khaymah  (feature #70, WOEID: 2347113)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","25.468698317893 55.738993901398 Umm Al Qaywayn  (feature #71, WOEID: 2347115)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","24.78587742008 56.123694449263 Neutral Zone United Arab Emirates    (feature #72)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","25.45408511382 56.151778128353 Fujayrah United Arab Emirates Al Foudjaïrah, Fudjayra Al Fujayrah, Fujaira, Fujairah, Fujeira   (feature #73)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","25.144937799662 56.275146521305 Fujayrah United Arab Emirates Al Foudjaïrah, Fudjayra Al Fujayrah, Fujaira, Fujairah, Fujeira   (feature #74)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","24.89715215301 56.290798966748 Neutral Zone United Arab Emirates    (feature #75)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","24.927202421285 56.294241274325 Neutral Zone United Arab Emirates Al Foudjaïrah, Fudjayra Al Fujayrah, Fujaira, Fujairah, Fujeira   (feature #76)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","25.363422819072 55.709692088187 Ajman United Arab Emirates `Adjmân Ajmã `Ajman   (feature #77)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","24.82225537858 56.042240917899 Neutral Zone United Arab Emirates    (feature #78)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","25.128819300129 55.874691358459 Sharjah United Arab Emirates Ach Chârdjah Chardja Ash Shariqah Ash Sharjah Sharjah and Dependencies Sharjah and Kalba   (feature #79)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","23.897522743751 53.864997784978 Abu Dhabi United Arab Emirates Aboû Dabî Abu Dabi Abu ?abi Abu ?aby   (feature #80)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","24.934060781921 55.368640766894 Dubay United Arab Emirates Dibay Doubaï Dubai, Dubayy   (feature #81)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-48.842746636051 -69.977774271862 Santa Cruz Argentina  (feature #82, WOEID: 2344694)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-54.321175890824 -67.274639243603 Tierra del Fuego  (feature #83, WOEID: 2344697)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-30.839567670045 -68.874448798583 San Juan  (feature #84, WOEID: 2344692)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-43.794656678893 -68.515003516385 Chubut  (feature #85, WOEID: 2344678)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-34.613128927104 -68.624620008688 Mendoza  (feature #86, WOEID: 2344687)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-38.661736569579 -70.152898335204 Neuquén Argentina Neuquém   (feature #87)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-36.718243787996 -60.557486998357 Ciudad de Buenos Aires  (feature #88, WOEID: 2344681)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-37.12350767765 -65.470058740557 La Pampa  (feature #89, WOEID: 2344685)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-40.396045103135 -67.198893316924 Río Negro Argentina  (feature #90, WOEID: 2344690)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-33.73986832306 -66.038628631636 San Luis Argentina    (feature #91)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-32.102251456621 -63.772976884737 Córdoba Argentina Cordova   (feature #92)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-27.30594113063 -66.952774187643 Catamarca  (feature #93, WOEID: 419824)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-23.335141143609 -65.780200231088 Jujuy  (feature #94, WOEID: 2344684)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-29.632507519238 -67.251893842847 La Rioja Argentina    (feature #95)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-24.229808953964 -64.940133091058 Salta  (feature #96, WOEID: 2344691)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-27.744614005177 -63.308772889173 Santiago del Estero Argentina  (feature #97, WOEID: 332474)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-26.946868127761 -65.395947833292 Tucumán  (feature #98, WOEID: 2344698)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-26.374432449939 -60.777888266454 Chaco  (feature #99, WOEID: 2344677)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-24.894169287769 -59.941549218857 Formosa Argentina    (feature #100)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-28.775025826196 -57.797125561622 Corrientes Argentina    (feature #101)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-32.055807084686 -59.193455744644 Entre Ríos Argentina  (feature #102, WOEID: 2344682)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","-30.742679747407 -60.953460725925 Santa Fe Argentina Santa Fé   (feature #103)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-26.880978170155 -54.676391252514 Misiones  (feature #104, WOEID: 2344688)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.434862318943 44.125571684825 Aragatsotn  (feature #105, WOEID: 20070209)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.142163039213 44.052524669843 Armavir Armenia  (feature #106, WOEID: 20070210)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.784661934649 43.821408016188 Shirak  (feature #107, WOEID: 20070203)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","40.916964637087 45.105017810894 Tavush  (feature #108, WOEID: 20070202)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","39.967807350148 44.772287023574 Ararat Armenia  (feature #109, WOEID: 20070211)"
