source,status,item
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","26.520356725092 29.923169782648 Egypt  (feature #64, WOEID: 23424802)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","15.342043502048 38.954950894407 Eritrea  (feature #65, WOEID: 23424806)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","39.958197574775 -3.466597408301 Spain  (feature #66, WOEID: 23424950)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","58.656710404327 25.323016493644 Estonia  (feature #67, WOEID: 23424805)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","8.6576711838511 39.60374681522 Ethiopia  (feature #68, WOEID: 23424808)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","64.541569497726 26.248804480349 Finland  (feature #69, WOEID: 23424812)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-17.726537178642 56.568915423463 Fiji  (feature #70, WOEID: 23424813)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-51.748779980187 -59.470189898302 Falkland Islands  (feature #71, WOEID: 23424814)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","42.038009018984 -3.0127336077463 France  (feature #72, WOEID: 23424819)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","61.995275988197 -6.859697966871 Faroe Islands  (feature #73, WOEID: 23424816)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","7.4933527563006 152.38047106672 Federated States of Micronesia  (feature #74, WOEID: 23424815)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-0.61153276616133 11.804764322906 Gabon  (feature #75, WOEID: 23424822)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","54.468231446982 -3.3452426341937 United Kingdom  (feature #76, WOEID: 23424975)"
ne_50m_admin_0_countries.geojson,"No API results matched feature.","42.159667093002 43.525246694426 Georgia Georgia  (feature #77)"
ne_50m_admin_0_countries.geojson,"No API results matched feature.","49.466089446265 -2.5772939908363 Guernsey United Kingdom  (feature #78)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","7.945979118077 -1.2137780750589 Ghana  (feature #79, WOEID: 23424824)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","10.381630165477 -10.916285981643 Guinea  (feature #80, WOEID: 23424835)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","13.442478981467 -15.46259156877 Gambia  (feature #81, WOEID: 23424821)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","11.93656008097 -15.112267100198 Guinea Bissau  (feature #82, WOEID: 23424929)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","1.7438378502273 10.28449828589 Equatorial Guinea  (feature #83, WOEID: 23424804)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","38.361689779695 24.031463484241 Greece  (feature #84, WOEID: 23424833)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","12.114220283961 -61.687830193897 Grenada  (feature #85, WOEID: 23424826)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","74.733011380757 -41.139388662165 Greenland  (feature #86, WOEID: 23424828)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","15.767950275364 -90.381397323063 Guatemala  (feature #87, WOEID: 23424834)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","13.433187689748 144.76712823069 Guam  (feature #88, WOEID: 23424832)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","4.7971728825334 -58.98169738562 Guyana  (feature #89, WOEID: 23424836)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","22.368002154255 114.09363419397 Hong Kong S.A.R.  (feature #90, WOEID: 24865698)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-53.082182428157 73.526917876102 Heard Island and McDonald Islands  (feature #91, WOEID: 28289411)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","14.878015796069 -86.576917618905 Honduras  (feature #92, WOEID: 23424841)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","44.854294808158 16.468497118594 Croatia  (feature #93, WOEID: 23424843)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","18.940413206505 -72.830110325867 Haiti  (feature #94, WOEID: 23424839)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","47.180208454827 19.374415579192 Hungary  (feature #95, WOEID: 23424844)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-2.5084749566909 118.20098842814 Indonesia  (feature #96, WOEID: 23424846)"
ne_50m_admin_0_countries.geojson,"No API results matched feature.","54.218291380603 -4.5505507728666 Isle of Man United Kingdom  (feature #97)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","22.940068599906 79.82413294158 India  (feature #98, WOEID: 23424848)"
ne_50m_admin_0_countries.geojson,"No API results matched feature.","-11.021943132607 102.8978815437 Indian Ocean Territories Australia  (feature #99)"
ne_50m_admin_0_countries.geojson,"No API results matched feature.","-7.3206413434176 72.433419665744 British Indian Ocean Territory United Kingdom  (feature #100)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","53.292712018925 -8.2171103501197 Ireland  (feature #101, WOEID: 23424803)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","32.571615166631 54.260239450055 Iran  (feature #102, WOEID: 23424851)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","33.053808943167 43.786218410011 Iraq  (feature #103, WOEID: 23424855)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","65.042942803886 -18.972794654153 Iceland  (feature #104, WOEID: 23424845)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","31.600722933034 35.060129304998 Israel  (feature #105, WOEID: 23424852)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","42.625269257414 12.282951155335 Italy  (feature #106, WOEID: 23424853)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","18.13651693156 -77.296691379263 Jamaica  (feature #107, WOEID: 23424858)"
ne_50m_admin_0_countries.geojson,"No API results matched feature.","49.212119963512 -2.1312982350525 Jersey United Kingdom  (feature #108)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","31.256373934858 36.850974993455 Jordan  (feature #109, WOEID: 23424860)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","37.25263902734 137.36702745268 Japan  (feature #110, WOEID: 23424856)"
ne_50m_admin_0_countries.geojson,"No API results matched feature.","35.408036920309 77.185384135247 Siachen Glacier Kashmir  (feature #111)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","48.133883934365 66.979790912434 Kazakhstan  (feature #112, WOEID: 23424871)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","0.61388060487438 37.796052928016 Kenya  (feature #113, WOEID: 23424863)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","41.374472230146 74.17483720376 Kyrgyzstan  (feature #114, WOEID: 23424864)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","12.696458941277 104.94035034379 Cambodia  (feature #115, WOEID: 23424776)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-2.0499604896436 -80.883418842176 Kiribati  (feature #116, WOEID: 23424867)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","17.247710781218 -62.675020331001 Saint Kitts and Nevis  (feature #117, WOEID: 23424940)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","36.191408652229 127.72974421921 South Korea  (feature #118, WOEID: 23424868)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","42.537421302202 20.860825142104 Kosovo  (feature #119, WOEID: 29389201)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","29.32682808504 47.634476190366 Kuwait  (feature #120, WOEID: 23424870)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","18.541578618172 103.71248122269 Laos  (feature #121, WOEID: 23424872)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","33.910823326418 35.89195782415 Lebanon  (feature #122, WOEID: 23424873)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","6.5150685687377 -9.2974732587656 Liberia  (feature #123, WOEID: 23424876)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","27.05227340417 18.008450886606 Libya  (feature #124, WOEID: 23424882)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","13.889108842013 -60.967603440221 Saint Lucia  (feature #125, WOEID: 23424951)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","47.143750083644 9.537410955464 Liechtenstein  (feature #126, WOEID: 23424879)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","7.7202167156504 80.663588198696 Sri Lanka  (feature #127, WOEID: 23424778)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-29.585134345742 28.228553001537 Lesotho  (feature #128, WOEID: 23424880)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","55.296309725092 23.89854578354 Lithuania  (feature #129, WOEID: 23424875)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","49.773970604202 6.087773617991 Luxembourg  (feature #130, WOEID: 23424881)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","56.869449830321 24.868526438924 Latvia  (feature #131, WOEID: 23424874)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","22.222489395825 113.50375930453 Macao S.A.R  (feature #132, WOEID: 20070017)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","18.083719303997 -63.064166611312 Saint Martin  (feature #133, WOEID: 56042305)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","29.819231111731 -8.4593813007879 Morocco  (feature #134, WOEID: 23424893)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","43.75068438871 7.4046788127707 Monaco  (feature #135, WOEID: 23424892)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","47.174708529424 28.48292444957 Moldova  (feature #136, WOEID: 23424885)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-19.265625516673 46.748046540668 Madagascar  (feature #137, WOEID: 23424883)"
ne_50m_admin_0_countries.geojson,"No API results matched feature.","3.7496464068032 73.460010691407 Maldives Maldives  (feature #138)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","24.152116340281 -103.13343859772 Mexico  (feature #139, WOEID: 23424900)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","6.692811316108 170.22734192027 Marshall Islands  (feature #140, WOEID: 23424932)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","41.597859658499 21.685489721223 Macedonia  (feature #141, WOEID: 23424890)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","17.250507761044 -3.6039433598373 Mali  (feature #142, WOEID: 23424891)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","35.935580788535 14.380186205631 Malta  (feature #143, WOEID: 23424897)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","20.89626111458 96.576845235194 Myanmar  (feature #144, WOEID: 23424763)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","42.760706849615 19.264652012083 Montenegro  (feature #145, WOEID: 20069817)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","46.849652184691 103.15518827191 Mongolia  (feature #146, WOEID: 23424887)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","16.268833574343 145.64032248713 Northern Mariana Islands  (feature #147, WOEID: 23424788)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-17.185505663966 35.480833219659 Mozambique  (feature #148, WOEID: 23424902)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","20.275372667879 -10.38427173703 Mauritania  (feature #149, WOEID: 23424896)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","16.733966300547 -62.187649393427 Montserrat  (feature #150, WOEID: 23424888)"
